iter	PRAUC	Logloss
0	0.3695950247	0.6529927373
1	0.3832920872	0.6201251542
2	0.3855039388	0.5954966703
3	0.3887328316	0.5744034049
4	0.3920742308	0.5582764835
5	0.3970998998	0.5450150226
6	0.4011578633	0.5348364559
7	0.4036539318	0.5260511542
8	0.4051986132	0.5191359648
9	0.4084574659	0.5133820135
10	0.4096273339	0.5087419648
11	0.4119887275	0.504756788
12	0.4121688161	0.5015994243
13	0.4140232158	0.499031997
14	0.414978992	0.4970606195
15	0.4162490702	0.4952444605
16	0.4178587912	0.4938502313
17	0.4191212422	0.4921417642
18	0.4199944062	0.4907581393
19	0.421162955	0.4894803546
20	0.4227308906	0.4885184727
21	0.4234560061	0.4876834854
22	0.4243224269	0.4868295092
23	0.4248057221	0.4862491403
24	0.4256971785	0.4856376935
25	0.4269534654	0.4849718613
26	0.4282721616	0.4843635309
27	0.4289257436	0.4838274862
28	0.429556147	0.4833457265
29	0.4302812995	0.482932357
30	0.430995639	0.4825666041
31	0.4318290009	0.4821835816
32	0.4324442792	0.4818398604
33	0.4333346594	0.4814935671
34	0.4336823142	0.4812620725
35	0.4340020777	0.4810159316
36	0.434225887	0.4807381227
37	0.4348199008	0.4804512222
38	0.4349915143	0.4801956977
39	0.4355494847	0.479884591
40	0.4360123147	0.4796575601
41	0.4365102835	0.4794181935
42	0.437206228	0.4791321007
43	0.4375650961	0.4788902978
44	0.4381424139	0.4787090443
45	0.4386735958	0.4784559794
46	0.4392428735	0.478210326
47	0.4396480516	0.4780225391
48	0.4399421242	0.4778672026
49	0.440541512	0.4776943551
50	0.4409085856	0.4775258574
51	0.4413862723	0.4773364896
52	0.441835843	0.4771406396
53	0.4421765604	0.4769437706
54	0.4425696718	0.4767949568
55	0.4431124929	0.4766032517
56	0.4433369676	0.4764862407
57	0.4435573722	0.476301353
58	0.4439006506	0.4761668047
59	0.4442286811	0.4760560235
60	0.4445088079	0.4759097855
61	0.4448557951	0.4757428209
62	0.4450424408	0.475654198
63	0.4453272136	0.475544605
64	0.4456699534	0.4753799437
65	0.4459605673	0.4752641349
66	0.4463619729	0.4751202481
67	0.4467170813	0.4750280425
68	0.447073302	0.4748868773
69	0.4472738926	0.4747635085
70	0.4475282184	0.474644792
71	0.447863762	0.4745461392
72	0.4481714946	0.4744658783
73	0.4485230353	0.4743604719
74	0.4487615705	0.4742582851
75	0.4490205696	0.4741646616
76	0.4493340988	0.4740714741
77	0.4495744275	0.4739744909
78	0.449809246	0.4738772398
79	0.4502713334	0.4737117171
80	0.4505637465	0.4736305839
81	0.4507069222	0.4735703167
82	0.4509655755	0.4734529821
83	0.4512006932	0.4733233738
84	0.4515046765	0.4732198091
85	0.451785383	0.4731268806
86	0.4520552945	0.4730366134
87	0.452367466	0.4728847869
88	0.4526662353	0.4727547535
89	0.4529924685	0.472648091
90	0.4532410491	0.4725518448
91	0.4535543851	0.4724425795
92	0.4537639582	0.4723739647
93	0.4539402882	0.4723012527
94	0.4543393872	0.472205406
95	0.4546584508	0.4720730571
96	0.4549701801	0.4719803228
97	0.4552219466	0.4718829501
98	0.4555463315	0.4718036961
99	0.4558851204	0.4716954358
100	0.4561905254	0.471570292
101	0.4566176601	0.4714777293
102	0.456956742	0.4713712153
103	0.457176169	0.4712871107
104	0.4574400053	0.4711812964
105	0.4578003043	0.4710821507
106	0.4580572454	0.4709881383
107	0.4583017609	0.4709093915
108	0.4585333682	0.4708178586
109	0.4588529183	0.470713146
110	0.4591550937	0.4706341716
111	0.4593563199	0.470538209
112	0.459530422	0.4704759584
113	0.4597863499	0.4703862582
114	0.4599879042	0.470300441
115	0.4601841543	0.4702300428
116	0.4605169423	0.4701202272
117	0.4607837738	0.4700027003
118	0.4611442303	0.469886723
119	0.461368202	0.4698107037
120	0.4617673589	0.4697003156
121	0.4620901625	0.4696072536
122	0.4624069632	0.4695005677
123	0.4626808561	0.4693613789
124	0.4630347242	0.469250015
125	0.4632845254	0.4691341133
126	0.4635900028	0.4690164553
127	0.4638103756	0.4689226139
128	0.4640394295	0.4688329585
129	0.4644018402	0.4687248269
130	0.4646220323	0.4686298299
131	0.4648032563	0.4685621882
132	0.4649921189	0.4684647606
133	0.4652933581	0.4683918022
134	0.4655485261	0.4683147157
135	0.4659675096	0.4681899446
136	0.4662652965	0.4680857132
137	0.4665101877	0.4680166969
138	0.4667521151	0.4679269292
139	0.467146104	0.4678227451
140	0.4673985102	0.4677136078
141	0.4676716763	0.4676305633
142	0.4680073112	0.4675275344
143	0.4683914659	0.4674146308
144	0.4686840805	0.4673309904
145	0.4690283458	0.4672247227
146	0.469341141	0.467111059
147	0.4695008164	0.4670372198
148	0.4698561094	0.4669373165
149	0.4700666793	0.4668609324
