iter	Passed	Remaining
0	42	42671
1	83	41826
2	129	43073
3	180	44914
4	227	45200
5	272	45220
6	327	46423
7	379	47039
8	433	47768
9	485	48058
10	536	48203
11	590	48576
12	641	48674
13	692	48794
14	746	49022
15	794	48845
16	844	48839
17	892	48698
18	947	48913
19	998	48943
20	1052	49064
21	1101	48968
22	1149	48825
23	1205	49034
24	1272	49628
25	1329	49790
26	1387	49984
27	1434	49806
28	1483	49666
29	1527	49382
30	1581	49424
31	1635	49488
32	1686	49427
33	1740	49446
34	1789	49326
35	1843	49367
36	1899	49428
37	1953	49456
38	2002	49343
39	2057	49390
40	2105	49252
41	2152	49104
42	2200	48964
43	2253	48956
44	2307	48962
45	2355	48857
46	2412	48918
47	2465	48902
48	2513	48778
49	2570	48833
50	2621	48783
51	2675	48770
52	2728	48748
53	2785	48798
54	2840	48799
55	2888	48694
56	2939	48626
57	2992	48598
58	3043	48544
59	3093	48469
60	3146	48430
61	3198	48388
62	3253	48386
63	3300	48264
64	3347	48155
65	3399	48111
66	3450	48048
67	3506	48057
68	3556	47981
69	3612	47989
70	3663	47941
71	3718	47930
72	3772	47910
73	3821	47820
74	3876	47806
75	3933	47821
76	3982	47742
77	4035	47707
78	4089	47678
79	4139	47604
80	4195	47605
81	4250	47579
82	4302	47532
83	4350	47441
84	4405	47427
85	4460	47408
86	4516	47398
87	4565	47315
88	4612	47213
89	4661	47130
90	4713	47081
91	4767	47051
92	4820	47014
93	4870	46938
94	4918	46850
95	4972	46822
96	5026	46796
97	5071	46680
98	5124	46638
99	5178	46608
100	5231	46562
101	5285	46532
102	5341	46521
103	5397	46502
104	5444	46410
105	5494	46338
106	5544	46271
107	5598	46237
108	5651	46201
109	5700	46121
110	5754	46088
111	5804	46023
112	5865	46037
113	5919	46006
114	5967	45925
115	6015	45844
116	6067	45787
117	6115	45708
118	6168	45664
119	6224	45645
120	6271	45561
121	6329	45553
122	6378	45480
123	6426	45402
124	6475	45329
125	6530	45302
126	6584	45258
127	6641	45246
128	6693	45192
129	6749	45167
130	6799	45101
131	6852	45063
132	6908	45036
133	6955	44951
134	7010	44922
135	7064	44881
136	7120	44852
137	7170	44788
138	7220	44723
139	7274	44684
140	7330	44657
141	7379	44586
142	7434	44557
143	7483	44484
144	7533	44424
145	7587	44380
146	7644	44356
147	7701	44333
148	7756	44303
149	7807	44241
150	7863	44211
151	7920	44188
152	7977	44161
153	8033	44131
154	8082	44062
155	8139	44035
156	8192	43988
157	8239	43909
158	8295	43877
159	8349	43835
160	8400	43774
161	8454	43735
162	8511	43707
163	8561	43643
164	8614	43596
165	8670	43558
166	8724	43516
167	8778	43475
168	8832	43428
169	8887	43391
170	8946	43373
171	9000	43328
172	9056	43292
173	9102	43210
174	9150	43139
175	9198	43066
176	9245	42991
177	9298	42939
178	9351	42892
179	9408	42861
180	9463	42820
181	9513	42758
182	9568	42719
183	9617	42650
184	9667	42587
185	9714	42514
186	9771	42483
187	9819	42412
188	9869	42349
189	9922	42302
190	9978	42265
191	10026	42195
192	10107	42264
193	10162	42223
194	10214	42167
195	10270	42131
196	10318	42060
197	10373	42019
198	10424	41961
199	10478	41913
200	10526	41844
201	10583	41808
202	10639	41770
203	10692	41723
204	10745	41672
205	10793	41602
206	10848	41558
207	10898	41498
208	10948	41435
209	11004	41396
210	11053	41330
211	11102	41268
212	11155	41218
213	11205	41156
214	11259	41110
215	11309	41047
216	11365	41010
217	11421	40968
218	11470	40907
219	11524	40858
220	11574	40799
221	11630	40759
222	11678	40691
223	11725	40621
224	11776	40562
225	11828	40511
226	11878	40450
227	11934	40411
228	11983	40347
229	12030	40276
230	12086	40235
231	12143	40197
232	12199	40160
233	12255	40116
234	12310	40074
235	12357	40004
236	12410	39953
237	12465	39910
238	12515	39849
239	12569	39803
240	12624	39758
241	12672	39694
242	12728	39650
243	12777	39588
244	12826	39526
245	12879	39476
246	12929	39416
247	12983	39369
248	13035	39316
249	13090	39270
250	13144	39223
251	13199	39178
252	13253	39132
253	13309	39089
254	13365	39049
255	13415	38989
256	13467	38933
257	13522	38889
258	13577	38844
259	13629	38790
260	13676	38723
261	13731	38679
262	13787	38635
263	13842	38590
264	13894	38536
265	13951	38497
266	14000	38434
267	14049	38374
268	14103	38326
269	14155	38272
270	14208	38220
271	14255	38155
272	14310	38109
273	14365	38063
274	14419	38014
275	14471	37961
276	14527	37918
277	14577	37858
278	14626	37798
279	14681	37752
280	14731	37692
281	14785	37646
282	14843	37607
283	14891	37543
284	14945	37494
285	14995	37435
286	15050	37389
287	15103	37338
288	15158	37293
289	15210	37240
290	15266	37195
291	15322	37152
292	15370	37088
293	15423	37037
294	15473	36978
295	15527	36930
296	15579	36875
297	15628	36815
298	15677	36755
299	15731	36706
300	15784	36655
301	15837	36604
302	15890	36554
303	15941	36497
304	15988	36433
305	16036	36370
306	16084	36307
307	16137	36256
308	16193	36211
309	16242	36153
310	16296	36104
311	16350	36055
312	16407	36011
313	16459	35959
314	16513	35910
315	16562	35850
316	16611	35790
317	16666	35743
318	16721	35697
319	16769	35636
320	16823	35586
321	16878	35539
322	16927	35479
323	16976	35420
324	17032	35375
325	17086	35326
326	17144	35284
327	17195	35230
328	17251	35185
329	17305	35135
330	17359	35085
331	17412	35034
332	17466	34985
333	17521	34937
334	17571	34881
335	17622	34825
336	17672	34767
337	17729	34725
338	17777	34664
339	17828	34608
340	17877	34550
341	17928	34493
342	17979	34438
343	18032	34388
344	18084	34334
345	18140	34288
346	18192	34234
347	18241	34176
348	18298	34132
349	18346	34072
350	18404	34030
351	18462	33988
352	18509	33925
353	18564	33877
354	18618	33827
355	18675	33784
356	18730	33736
357	18787	33691
358	18841	33642
359	18894	33589
360	18949	33541
361	19001	33488
362	19058	33443
363	19114	33397
364	19169	33349
365	19226	33305
366	19283	33259
367	19337	33210
368	19392	33162
369	19447	33112
370	19501	33063
371	19551	33006
372	19601	32949
373	19655	32899
374	19711	32852
375	19758	32790
376	19813	32742
377	19862	32683
378	19916	32633
379	19972	32586
380	20029	32541
381	20082	32489
382	20137	32441
383	20187	32384
384	20240	32333
385	20290	32274
386	20344	32224
387	20400	32177
388	20454	32127
389	20504	32070
390	20556	32018
391	20608	31963
392	20657	31905
393	20711	31856
394	20762	31801
395	20820	31756
396	20875	31707
397	20929	31657
398	20979	31600
399	21027	31541
400	21075	31482
401	21124	31423
402	21169	31360
403	21219	31304
404	21270	31249
405	21328	31205
406	21382	31153
407	21432	31098
408	21480	31039
409	21530	30982
410	21576	30921
411	21629	30869
412	21684	30820
413	21740	30773
414	21787	30713
415	21841	30662
416	21889	30603
417	21943	30553
418	21996	30500
419	22050	30450
420	22101	30396
421	22149	30337
422	22194	30275
423	22242	30216
424	22299	30170
425	22347	30111
426	22401	30061
427	22455	30010
428	22511	29963
429	22577	29928
430	22632	29879
431	22685	29827
432	22740	29777
433	22795	29728
434	22844	29671
435	22902	29625
436	22958	29577
437	23006	29520
438	23063	29473
439	23119	29424
440	23167	29366
441	23216	29309
442	23267	29255
443	23322	29206
444	23379	29158
445	23428	29101
446	23475	29042
447	23524	28985
448	23572	28927
449	23614	28861
450	23664	28806
451	23718	28756
452	23770	28703
453	23815	28642
454	23864	28584
455	23919	28535
456	23972	28483
457	24025	28431
458	24077	28379
459	24133	28330
460	24186	28279
461	24242	28230
462	24299	28182
463	24352	28131
464	24400	28073
465	24456	28025
466	24505	27969
467	24556	27914
468	24606	27859
469	24660	27808
470	24708	27751
471	24762	27700
472	24811	27644
473	24859	27586
474	24913	27535
475	24969	27487
476	25025	27438
477	25080	27389
478	25138	27342
479	25189	27288
480	25241	27235
481	25294	27184
482	25350	27134
483	25399	27078
484	25448	27022
485	25503	26972
486	25555	26919
487	25607	26866
488	25666	26821
489	25719	26769
490	25776	26721
491	25830	26670
492	25887	26622
493	25941	26571
494	25994	26519
495	26042	26463
496	26095	26410
497	26151	26361
498	26198	26303
499	26252	26252
500	26301	26196
501	26348	26138
502	26402	26087
503	26451	26031
504	26501	25976
505	26555	25925
506	26609	25874
507	26666	25826
508	26716	25771
509	26768	25718
510	26819	25665
511	26874	25614
512	26929	25564
513	26984	25514
514	27038	25463
515	27096	25416
516	27149	25364
517	27204	25314
518	27263	25267
519	27313	25212
520	27367	25161
521	27416	25105
522	27471	25055
523	27524	25003
524	27572	24946
525	27624	24893
526	27679	24843
527	27727	24787
528	27786	24739
529	27834	24683
530	27888	24631
531	27935	24575
532	27985	24519
533	28032	24462
534	28088	24413
535	28135	24356
536	28187	24303
537	28240	24251
538	28295	24200
539	28343	24144
540	28399	24094
541	28452	24043
542	28506	23991
543	28558	23939
544	28611	23886
545	28662	23833
546	28716	23782
547	28771	23731
548	28826	23680
549	28879	23628
550	28934	23578
551	28984	23523
552	29032	23467
553	29087	23417
554	29143	23367
555	29200	23318
556	29251	23264
557	29306	23214
558	29363	23165
559	29420	23116
560	29475	23065
561	29530	23015
562	29578	22959
563	29636	22910
564	29684	22854
565	29736	22801
566	29791	22750
567	29847	22700
568	29902	22650
569	29959	22600
570	30010	22547
571	30066	22497
572	30115	22441
573	30170	22390
574	30219	22336
575	30278	22288
576	30332	22237
577	30390	22187
578	30437	22131
579	30487	22077
580	30537	22022
581	30590	21970
582	30640	21915
583	30691	21862
584	30745	21810
585	30801	21760
586	30854	21708
587	30908	21656
588	30964	21607
589	31019	21555
590	31069	21501
591	31115	21444
592	31172	21394
593	31226	21343
594	31281	21292
595	31338	21243
596	31392	21191
597	31446	21139
598	31496	21085
599	31552	21035
600	31607	20984
601	31657	20929
602	31709	20876
603	31758	20821
604	31814	20771
605	31865	20717
606	31913	20662
607	31968	20611
608	32017	20556
609	32073	20505
610	32122	20451
611	32173	20397
612	32227	20345
613	32283	20295
614	32339	20244
615	32396	20195
616	32476	20159
617	32539	20113
618	32606	20069
619	32669	20023
620	32722	19970
621	32796	19930
622	32869	19890
623	32931	19843
624	32999	19799
625	33065	19754
626	33123	19705
627	33185	19657
628	33246	19609
629	33367	19596
630	33461	19567
631	33544	19532
632	33659	19515
633	33735	19475
634	33789	19422
635	33856	19377
636	33935	19338
637	34001	19292
638	34072	19249
639	34134	19200
640	34186	19146
641	34250	19099
642	34299	19043
643	34350	18988
644	34400	18933
645	34456	18881
646	34514	18831
647	34572	18779
648	34633	18731
649	34686	18677
650	34742	18625
651	34796	18572
652	34856	18522
653	34910	18469
654	34966	18417
655	35030	18369
656	35092	18320
657	35150	18269
658	35206	18217
659	35268	18168
660	35327	18118
661	35391	18069
